"","Genera","Culture","Objective","Data.Type","Average","Standard.Dev","SD_Minus2","SD_Plus2"
"1","Dolichospermum","F271","20X","Area","662.20067034274","254.016284240962","154.168101860816","1170.23323882466"
"2","Dolichospermum","F271","20X","Perimeter","88.2683533354957","18.9432770432253","50.3817992490452","126.154907421946"
"3","Dolichospermum","F271","20X","Radius","13.9340182301705","2.71345131639611","8.5071155973783","19.3609208629628"
"4","Dolichospermum","F271","40X","Area","2998.74288950415","861.389182259207","1275.96452498574","4721.52125402257"
"5","Dolichospermum","F271","40X","Perimeter","191.403850994211","30.5811366854906","130.24157762323","252.566124365192"
"6","Dolichospermum","F271","40X","Radius","30.395339683147","4.31758889669634","21.7601618897543","39.0305174765397"
"7","Microcystis","F192","20X","Area","364.31015079901","105.535036987764","153.240076823481","575.380224774538"
"8","Microcystis","F192","20X","Perimeter","60.1371820841774","9.32687692070125","41.4834282427748","78.7909359255799"
"9","Microcystis","F192","20X","Radius","10.237674564124","1.56006956895918","7.11753542620565","13.3578137020424"
"10","Microcystis","F192","40X","Area","1192.75272479564","334.438760702726","523.875203390188","1861.63024620109"
"11","Microcystis","F192","40X","Perimeter","111.611376021798","15.9704537675149","79.6704684867685","143.552283556828"
"12","Microcystis","F192","40X","Radius","18.8819998455951","2.77401519279405","13.333969460007","24.4300302311831"
